title,slug,year,work_type,triage_class,confidence,primary_source,notes
Roadrunner,roadrunner,2012,song,WORK,confirmed,youtube_corpus,YT:1NBy512CpaM | YT:3ti5apKeDEg | yt=1NBy512CpaM | ft. Grgo Savic
iZLET feat. Ante Cash - Nemam Ni Jednog Prijatelja Policajca,izlet-feat-ante-cash-nemam-ni-jednog-prijatelja-policajca,2012,song,MEDIA,probable,youtube_corpus,YT:FYYSZX601uw
Ludi Gadovi,ludi-gadovi,2012,song,WORK,confirmed,youtube_corpus,YT:LPsDeZYTXxs | yt=LPsDeZYTXxs | feat. Grgo Savic & Niksa Ersek
iZLET feat. 3 Gosta - Zetovac,izlet-feat-3-gosta-zetovac,2012,song,MEDIA,probable,youtube_corpus,YT:SP_Nka-LYwE
Možda Su U Šumi,mozda-su-u-sumi,2012,song,WORK,confirmed,youtube_corpus,YT:j_oPnn2_iUI | yt=j_oPnn2_iUI | feat. Grgo Savic
Zetovac,zetovac,2012,song,WORK,confirmed,youtube_corpus,YT:WryChY9304U | yt=WryChY9304U | ft. 3 Gosta | Satiricna oda ZET radniku
Spasi me,spasi-me,2011,song,WORK,confirmed,youtube_corpus,YT:hhLKTaqshvE | yt=hhLKTaqshvE | Spot/Official Video
So Sweet - VISKI STRIP ft. Toni Kumerle,so-sweet-viski-strip-ft-toni-kumerle,2011,song,MEDIA,probable,youtube_corpus,YT:QQ6xhW2Z1J0
Ljeto u Maximiru - Zagrebačka Ljetna Rock Himna,ljeto-u-maximiru-zagrebacka-ljetna-rock-himna,2010,song,MEDIA,probable,youtube_corpus,YT:Ri0cJPe72uc
Zemlja dide mog,zemlja-dide-mog,2024,song,COVER,confirmed,youtube_corpus,yt=XjxpRZaWCgQ
"Rajska Djevo, Kraljice Hrvata",rajska-djevo-kraljice-hrvata,2024,song,PERFORMANCE,confirmed,youtube_corpus,yt=EWziHN3oFk0 | izvedba narodne vjerske pjesme
Vraćam se Zagrebe,vracam-se-zagrebe,2024,song,PERFORMANCE,confirmed,youtube_corpus,yt=mgXu_i6Aemo | izvedba Robiceva slagera
Ljeto u Maximiru,ljeto-u-maximiru,2010,song,WORK,confirmed,youtube_corpus,yt=Ri0cJPe72uc | Spot/Official Video
Sadašnji Trenutak,sadanji-trenutak,2017,song,WORK,confirmed,youtube_corpus,yt=570Z7nd9DnM | Spot/Official Video
Nezavisna Država Hrvatska,nezavisna-drzava-hrvatska,2019,song,COVER,confirmed,youtube_corpus,yt=GCW4uYcJTbs | ft. Tomislav Lucic | cover Drazen Zecic
Čast poštenje i čisti obraz,cast-postenje-i-cisti-obraz,2025,song,WORK,confirmed,youtube_corpus,yt=V8Jw0Letyyo | Autorska pjesma / Live
Nemam ni jednog prijatelja policajca,nemam-ni-jednog-prijatelja-policajca,2012,song,WORK,confirmed,youtube_corpus,yt=FYYSZX601uw | feat. Ante Cash
Gori Oluja,gori-oluja,2019,song,WORK,confirmed,youtube_corpus,yt=QeNd7IbWGRY | feat. Marko Juric
Mon Ami,mon-ami,2017,song,WORK,confirmed,youtube_corpus,yt=i3kU-6rPVFU | live @ Route 66 Zagreb
Šoram snjegovića,soram-snjevovica,2018,song,WORK,confirmed,youtube_corpus,yt=LW0Om2bBluc | live @ Aquarius Zagreb
