video_id,title_current,upload_date,duration,view_count,like_count,comment_count,has_captions,description_length,thumbnail_url,upload_year,duration_seconds,authority_score,probable_tier,era,type,primary_anchor,secondary_anchor,canonical_status,notes
-S2B0VGQg7A,Braća Kumerle – Striče Igore Zrinja! 🇭🇷 #Zagreb,2025-12-21,PT28S,148453,1546,75,False,623,https://i.ytimg.com/vi/-S2B0VGQg7A/maxresdefault.jpg,2025,28,65,B,,,,,raw,
WxqNc6tXmQI,Mislili su neki! 🇭🇷🖤 #hrvatska #shorts #fyp,2025-12-20,PT21S,26448,877,40,False,0,https://i.ytimg.com/vi/WxqNc6tXmQI/sddefault.jpg,2025,21,60,C,,,,,raw,
nqqGF71rwSQ,Sanjam Kupres - Cesta prema Kupresu 🇭🇷 | Hercegovina Nostalgija,2025-12-05,PT16S,21272,373,13,False,1935,https://i.ytimg.com/vi/nqqGF71rwSQ/sddefault.jpg,2025,16,65,B,,,,,raw,
3wsqpwuWEMM,"Braća Kumerle – Striče Ivane | Uživo @ Korzo, Rijeka",2025-11-30,PT21S,124294,1780,81,False,619,https://i.ytimg.com/vi/3wsqpwuWEMM/maxresdefault.jpg,2025,21,65,B,,,,,raw,
zOVPy32dfIg,Striče Ivane – Braća Kumerle | Live @ Trg bana Jelačića,2025-11-30,PT13S,349113,2219,80,False,845,https://i.ytimg.com/vi/zOVPy32dfIg/maxresdefault.jpg,2025,13,65,B,,,,,raw,
0JVnfLocwFE,Nezavisna Država - Prvi Put na Rivi UŽIVO 🇭🇷 | Braća Kumerle Split,2025-11-27,PT2M32S,38062,1114,205,False,2198,https://i.ytimg.com/vi/0JVnfLocwFE/maxresdefault.jpg,2025,152,65,B,,,,,raw,
npMipRAT_9s,Thompson - Ne Varaj Me 💔 | Braća Kumerle Cover 🇭🇷,2025-11-24,PT1M19S,42853,1080,103,False,2264,https://i.ytimg.com/vi/npMipRAT_9s/sddefault.jpg,2025,79,65,B,,,,,raw,
ZnBhOdwZTWg,Kralj Tomislav - Thompson Cover LIVE Split Riva 🇭🇷⚔️ | Braća Kumerle,2025-11-22,PT17S,58550,891,49,False,1562,https://i.ytimg.com/vi/ZnBhOdwZTWg/sddefault.jpg,2025,17,65,B,,,,,raw,
n-5LRoDH3rM,Mi Smo Vjerni Domovini 💙 HVO Himna Uživo,2025-11-20,PT1M27S,27645,887,78,False,1570,https://i.ytimg.com/vi/n-5LRoDH3rM/sddefault.jpg,2025,87,65,B,,,,,raw,
S04QjTS23KU,Striče Ivane - Prva Izvedba IKAD na Trgu Bana Jelačića 🇭🇷🔥 | Braća Kumerle,2025-11-15,PT2M42S,73335,2075,243,False,1921,https://i.ytimg.com/vi/S04QjTS23KU/sddefault.jpg,2025,162,65,B,,,,,raw,
EXwZNokbCvs,Ovo je pravi Zagreb koji ne vidiš u turističkim vodiču #locallife #real #fyp,2025-11-15,PT15S,16320,542,24,False,623,https://i.ytimg.com/vi/EXwZNokbCvs/maxresdefault.jpg,2025,15,65,B,,,,,raw,
_8gaqROsmvU,Vratite se prognani U svoj DOM 🇭🇷 | Braća Kumerle - Splitska Riva,2025-11-13,PT19S,124709,1513,48,False,0,https://i.ytimg.com/vi/_8gaqROsmvU/sddefault.jpg,2025,19,60,C,,,,,raw,
HiRoEUn42L0,THOMPSON: Ako ne znaš šta je bilo - RIVA GORI! 🔥 (Braća Kumerle),2025-11-12,PT2M,5539,220,44,False,1659,https://i.ytimg.com/vi/HiRoEUn42L0/maxresdefault.jpg,2025,120,65,B,,,,,raw,
0z3kNr5bITg,Znakovlje Hrvata LIVE Split Riva - Domoljubna Himna Koja Ujedinjuje Hrvate 🇭🇷 | Braća Kumerle iZLET,2025-11-10,PT1M52S,12585,368,97,False,2191,https://i.ytimg.com/vi/0z3kNr5bITg/maxresdefault.jpg,2025,112,65,B,,,,,raw,
fhTIwiJGbyA,124 Brigada - Heroji Koji Su Branili Hrvatsku 🇭🇷 | Domovinski Rat,2025-11-07,PT15S,23052,474,35,False,510,https://i.ytimg.com/vi/fhTIwiJGbyA/sddefault.jpg,2025,15,65,B,,,,,raw,
dcqmHVzYg6A,Hey Brother - Emotivni Akustični Cover 💔 | Avicii Tribute Braća Kumerle,2025-10-30,PT57S,4207,66,3,False,921,https://i.ytimg.com/vi/dcqmHVzYg6A/sddefault.jpg,2025,57,57.04,C,,,,,raw,
mNgJvvb8kEw,Hrvatska Je Tvoja - Nikom Ne Daj Nju 🇭🇷 | Thompson Cover | Braća Kumerle,2025-10-30,PT15S,59411,800,47,False,1550,https://i.ytimg.com/vi/mNgJvvb8kEw/sddefault.jpg,2025,15,65,B,,,,,raw,
JIiYUrCzhjE,Što Te Škola Nije Naučila O Hrvatskoj 🇭🇷,2025-10-27,PT24S,5067,85,5,False,1296,https://i.ytimg.com/vi/JIiYUrCzhjE/sddefault.jpg,2025,24,60.56,C,,,,,raw,
uZq_1k61gME,Pave Vukelić Pajo Domovinski Rat - Svaku Stopu Hrvatske 🇭🇷,2025-10-27,PT18S,231249,2442,101,False,1350,https://i.ytimg.com/vi/uZq_1k61gME/maxresdefault.jpg,2025,18,65,B,,,,,raw,
x0RotC8hnME,"Pitanja su opasna, al' ISTINA će doći!",2025-10-20,PT22S,4240,101,5,False,828,https://i.ytimg.com/vi/x0RotC8hnME/maxresdefault.jpg,2025,22,60.56,C,,,,,raw,
98AqzciLIt4,Goli Otok - Kako Su Hrvate Zatvarali Za Domoljubne Pjesme 🇭🇷⛓️,2025-10-16,PT42S,2909,56,12,False,525,https://i.ytimg.com/vi/98AqzciLIt4/maxresdefault.jpg,2025,42,65,B,,,,,raw,
5m7h1jzfM04,Nova Zora Nama Rudi - Moćna Koračnica Hrvatskih Branitelja 🇭🇷⚔️ | Braća Kumerle,2025-10-10,PT34S,10287,182,6,False,604,https://i.ytimg.com/vi/5m7h1jzfM04/sddefault.jpg,2025,34,61.9,C,,,,,raw,
8gyj7YRXQ7E,Kralj Tomislav - Himna O Prvom Hrvatskom Kralju 👑🇭🇷,2025-10-04,PT29S,83496,1413,90,False,1860,https://i.ytimg.com/vi/8gyj7YRXQ7E/maxresdefault.jpg,2025,29,65,B,,,,,raw,
V8Jw0Letyyo,Čast poštenje i čisti obraz | iZLET braća Kumerle,2025-10-02,PT2M3S,3580,70,4,False,765,https://i.ytimg.com/vi/V8Jw0Letyyo/maxresdefault.jpg,2025,123,58.98,C,,,,,raw,
f5GlQJPSWtM,HVO Nas Vodi - Moćna Domoljubna Himna Mostar 🇭🇷,2025-09-28,PT23S,13231,254,11,False,1476,https://i.ytimg.com/vi/f5GlQJPSWtM/maxresdefault.jpg,2025,23,65,B,,,,,raw,
l4g11KCitN0,Striče Ivane | braća Kumerle LIVE @ NK Špansko,2025-09-27,PT1M12S,6703,209,17,False,823,https://i.ytimg.com/vi/l4g11KCitN0/sddefault.jpg,2025,72,65,B,,,,,raw,
w_m9reBjiWk,Srce na cesti | Braća Kumerle @ NK Špansko,2025-09-27,PT1M4S,2685,52,5,False,704,https://i.ytimg.com/vi/w_m9reBjiWk/sddefault.jpg,2025,64,60.56,C,,,,,raw,
eB2lRefVKCg,"Premijera ""Diva"" U Tomislavgradu#tomislavgrad #duvno #hercegovina #hrvatska #fyp",2025-09-19,PT14S,7863,151,10,False,707,https://i.ytimg.com/vi/eB2lRefVKCg/maxresdefault.jpg,2025,14,65,B,,,,,raw,
sOKHu9zUoAE,Gdje sam bio? #hrvatska #fyp #zagreb,2025-09-15,PT55S,3423,96,4,False,704,https://i.ytimg.com/vi/sOKHu9zUoAE/sddefault.jpg,2025,55,58.98,C,,,,,raw,
lugj2wdXPBk,Hrvatsko zajedništvo! #hrvatska #posusje #hercegovina,2025-09-15,PT43S,3485,93,4,False,806,https://i.ytimg.com/vi/lugj2wdXPBk/maxresdefault.jpg,2025,43,58.98,C,,,,,raw,
j-_-WfKcuYs,Bijeli Križ Bile - Opomena Koja Ne Smije Biti Zaboravljena 🕊️🇭🇷 | Thompson,2025-09-14,PT15S,112236,1630,35,False,580,https://i.ytimg.com/vi/j-_-WfKcuYs/sddefault.jpg,2025,15,65,B,,,,,raw,
IiCkXiFkhdE,Bile Hercegovina - 50.000 Križeva Za Nezaboravljene Heroje 🕊️🇭🇷,2025-09-14,PT15S,15530,250,14,False,1584,https://i.ytimg.com/vi/IiCkXiFkhdE/sddefault.jpg,2025,15,65,B,,,,,raw,
H1N0U0MKr5w,MORA BITI HRVATSKI MORA BITI ZRINJSKI #hrvatska #hercegovina #mostar #zrinjski #fyp,2025-09-13,PT29S,4278,71,8,False,797,https://i.ytimg.com/vi/H1N0U0MKr5w/maxresdefault.jpg,2025,29,64.08,C,,,,,raw,
8UJ1xPBVtiQ,iZLET u Ljubuški - Postrojba je meni sve #fyp #hrvatska #hercegovina #ljubuski,2025-09-10,PT47S,3379,56,2,False,808,https://i.ytimg.com/vi/8UJ1xPBVtiQ/sddefault.jpg,2025,47,54.54,C,,,,,raw,
fEvehiE_Guo,iZLET U Grude - Znakovlje Hrvata#fyp #hrvatska #hercegovina #grude,2025-09-09,PT49S,3977,66,10,False,685,https://i.ytimg.com/vi/fEvehiE_Guo/maxresdefault.jpg,2025,49,65,B,,,,,raw,
UkH_QsSmK5s,Neće Pasti Srednja Bosna - Moćna Domoljubna Himna HVO 🇭🇷⚔️ | Braća Kumerle,2025-08-12,PT16S,19832,314,61,False,1917,https://i.ytimg.com/vi/UkH_QsSmK5s/sddefault.jpg,2025,16,65,B,,,,,raw,
xBe2DxeEJFA,Pjevaj sokole pjesmu pobjede!#hrvatska #fyp #sinj #markoperkovicthompson #mpt #europe #ravnoteža,2025-08-10,PT17S,3687,98,3,False,735,https://i.ytimg.com/vi/xBe2DxeEJFA/maxresdefault.jpg,2025,17,57.04,C,,,,,raw,
M87ZUutXtzM,Ne boj se - ovo je Ravnoteža #fyp #hrvatska #rock,2025-08-08,PT29S,11374,292,11,False,746,https://i.ytimg.com/vi/M87ZUutXtzM/sddefault.jpg,2025,29,65,B,,,,,raw,
-HafWnih0bo,Thompson Hipodrom - Ne Boj Se Rogova Backstage 🔥🇭🇷 | Braća Kumerle,2025-07-03,PT29S,133592,1561,54,False,1677,https://i.ytimg.com/vi/-HafWnih0bo/sddefault.jpg,2025,29,65,C,,,,,raw,
95DeP4Jo1NI,iZLET - Krijesovi laži #hrvatska #zagreb #fyp #shorts,2025-06-22,PT21S,2484,60,0,False,720,https://i.ytimg.com/vi/95DeP4Jo1NI/sddefault.jpg,2025,21,45.0,C,,,,,raw,
gk5AHkbyLVU,iZLET - Krijesovi Laži | OFFICIAL VIDEO,2025-06-22,PT4M7S,13356,545,108,True,4958,https://i.ytimg.com/vi/gk5AHkbyLVU/maxresdefault.jpg,2025,247,75,A,,,,,raw,
1qQR8e0Me4g,KRIJESOVI LAŽI @Crotradwave - Pamćenje naše gori još jače! #hrvatska #fyp #zagreb #shorts,2025-06-12,PT17S,1802,49,1,False,339,https://i.ytimg.com/vi/1qQR8e0Me4g/maxresdefault.jpg,2025,17,51.02,C,,,,,raw,
XzUVGYESyKU,Koja gora Ivo? #hrvatska #croatia #shorts #hercegovina #hercegbosna #hvo #rama Ivan Doktor Anđelić,2025-06-08,PT16S,10965,171,8,False,623,https://i.ytimg.com/vi/XzUVGYESyKU/maxresdefault.jpg,2025,16,64.08,C,,,,,raw,
zNS2qMCRe6s,Domoljubni trenutak koji trese srce #hrvatskiponos #foryou,2025-06-07,PT15S,4648,120,10,False,731,https://i.ytimg.com/vi/zNS2qMCRe6s/maxresdefault.jpg,2025,15,65,C,,,,,raw,
